"station_id","lng","lat","district","count"
"C0371",121.5496,31.2348,"浦东新区",1396
"C0372",121.5296,31.2188,"浦东新区",3545
"C0373",121.5166,31.2368,"浦东新区",4730
"C0374",121.5636,31.2598,"浦东新区",1397
"C0375",121.5346,31.2488,"浦东新区",0
"C0376",121.0662,31.059,"青浦区",301
"C0377",121.4402,30.8093,"奉贤区",450
"C0378",121.3332,30.722,"金山区",767
"C0379",121.1872,31.034,"松江区",1360
"C0380",121.4942,31.2413,"浦东新区",0
"C0381",121.4122,31.6723,"崇明区",465
"C0383",121.5856,31.5968,"崇明区",821
"C0384",121.5186,31.5828,"崇明区",597
"C0385",121.4292,31.6223,"崇明区",501
"C0386",121.4132,31.6463,"崇明区",582
"C0387",121.3862,31.6293,"崇明区",681
"C0388",121.4042,31.6403,"崇明区",770
"C0389",121.4002,31.6263,"崇明区",780
"C0390",121.4332,31.6303,"崇明区",282
"C0394",121.4392,31.6153,"崇明区",746
"C0396",121.7486,31.3488,"崇明区",380
"C0401",121.4572,31.2173,"黄浦区",0
"C0402",121.7686,31.4728,"崇明区",1900
"C0403",121.5112,31.2773,"杨浦区",748
"C0404",121.4702,31.2073,"黄浦区",1487
"C0405",121.4392,31.2873,"静安区",896
"C0406",121.3762,31.2773,"普陀区",0
"C0407",121.3692,31.2203,"长宁区",3655
"C0408",121.3762,31.2653,"普陀区",678
"C0409",121.4552,31.1793,"徐汇区",2701
"C0411",121.4032,31.6333,"崇明区",642
"C0412",121.5236,31.1978,"浦东新区",4631
"C0413",121.5122,31.1953,"浦东新区",0
"C0414",121.4432,31.1833,"徐汇区",1880
"C0415",121.3722,31.1193,"闵行区",3339
"C0416",121.4912,31.1393,"浦东新区",4492
"C0417",121.5996,31.2538,"浦东新区",1674
"C0418",121.8026,31.1518,"浦东新区",3843
"C0419",121.5746,31.2938,"浦东新区",0
"C0420",121.3522,31.084,"松江区",1300
"C0421",121.6076,31.3388,"浦东新区",1377
"C0422",121.5846,31.2078,"浦东新区",5623
"C0423",121.5946,31.2798,"浦东新区",0
"C0424",121.3842,31.1733,"闵行区",1428
"C0425",121.4062,31.1703,"徐汇区",0
"C0426",121.3762,31.1933,"长宁区",2256
"C0427",121.3852,31.2103,"长宁区",0
"C0428",121.3962,31.2353,"普陀区",2700
"C0429",121.4162,31.2913,"宝山区",0
"C0430",121.3972,31.2483,"普陀区",2394
"C0431",121.4362,31.3083,"静安区",0
"C0432",121.4892,31.2843,"虹口区",2711
"C0433",121.5082,31.3793,"浦东新区",3139
"C0434",121.5406,31.3138,"杨浦区",0
"C0435",121.5496,31.2868,"杨浦区",3150
"C0436",121.5022,31.1763,"浦东新区",1828
"C0437",121.3652,31.1743,"闵行区",0
"C0438",121.5886,31.1468,"浦东新区",5652
"C0439",121.4452,31.1483,"徐汇区",0
"C0440",121.4052,31.2043,"长宁区",2989
"C0441",121.3622,31.2533,"嘉定区",3600
"C0442",121.7866,31.3548,"崇明区",743
"C0443",121.6276,31.5428,"崇明区",657
"C0444",121.1992,31.053,"松江区",1167
"C0445",121.5496,30.8708,"奉贤区",483
"C0446",121.6366,30.8678,"奉贤区",275
"C0447",121.7946,31.1648,"浦东新区",2865
"C0448",121.4382,31.4363,"宝山区",187
"C0449",121.2552,31.395,"嘉定区",547
"C0450",121.2702,31.424,"嘉定区",238
"C0451",121.4062,31.4043,"宝山区",598
"C0452",121.4042,31.0033,"闵行区",1043
"C0453",121.3652,31.0683,"闵行区",665
"C0454",121.0212,30.973,"青浦区",203
"C0455",121.7546,31.1218,"浦东新区",1527
"C0456",121.7046,31.1218,"浦东新区",769
"C0457",121.5246,31.0268,"闵行区",1238
"C0458",121.5856,31.3578,"浦东新区",758
"C0459",121.5176,30.8358,"奉贤区",575
"C0460",121.3782,31.4213,"宝山区",633
"C0461",121.3002,31.384,"嘉定区",751
"C0462",121.3812,31.3673,"宝山区",686
"C0463",121.2332,31.292,"嘉定区",1147
"C0464",121.1462,31.349,"嘉定区",194
"C0465",121.3142,31.34,"嘉定区",1184
"C0466",121.1772,31.199,"青浦区",1954
"C0467",121.0832,31.256,"青浦区",477
"C0468",121.8046,31.4978,"崇明区",1264
"C0469",121.4642,31.1293,"浦东新区",2320
"C0470",121.4672,30.9173,"奉贤区",1469
"C0471",121.2202,31.244,"青浦区",1166
"C0472",121.1292,31.121,"青浦区",1232
"C0473",121.2252,31.071,"松江区",2020
"C0474",121.0722,30.987,"青浦区",259
"C0475",121.1072,31.031,"松江区",610
"C0476",121.1352,30.955,"松江区",138
"C0477",121.1022,30.916,"金山区",143
"C0478",121.2122,30.938,"松江区",503
"C0479",121.2422,30.781,"金山区",759
"C0480",121.3272,30.785,"金山区",766
"C0481",121.3722,30.8093,"金山区",0
"C0482",121.2912,30.917,"金山区",1692
"C0483",121.6986,31.3878,"崇明区",1116
"C0484",121.8176,30.9718,"浦东新区",297
"C0485",121.7086,31.0038,"浦东新区",727
"C0486",121.5836,31.0558,"浦东新区",1242
"C0487",121.3602,31.6833,"崇明区",407
"C0488",121.3812,31.6283,"崇明区",723
"C0489",121.2322,31.838,"崇明区",96
"C0490",121.1012,31.16,"青浦区",988
"C0491",121.2322,31.02,"松江区",2054
"C0492",121.2242,31.009,"松江区",1888
"C0493",121.3042,30.718,"金山区",194
"C0494",121.7156,31.3748,"崇明区",595
"C0495",120.9122,31.041,"青浦区",221
"C0496",120.9182,31.066,"青浦区",320
"C0497",120.9982,31.097,"青浦区",636
"C0498",121.2212,30.836,"金山区",694
"C0499",121.2602,30.86,"金山区",153
"C0500",121.3542,30.895,"金山区",1325
"C0501",121.3742,30.8553,"金山区",0
"C0502",120.9872,31.053,"青浦区",127
"C0503",121.3492,30.724,"金山区",866
"C0505",121.4282,30.8413,"奉贤区",340
