station_id,lng,lat,district
C0468,121.8046,31.4978,崇明区
C0469,121.4642,31.1293,浦东新区
C0470,121.4672,30.9173,奉贤区
C0471,121.2202,31.244,青浦区
C0472,121.1292,31.121,青浦区
C0473,121.2252,31.071,松江区
C0474,121.0722,30.987,青浦区
C0475,121.1072,31.031,松江区
C0476,121.1352,30.955,松江区
C0477,121.1022,30.916,金山区
C0478,121.2122,30.938,松江区
C0479,121.2422,30.781,金山区
C0480,121.3272,30.785,金山区
C0481,121.3722,30.8093,金山区
C0482,121.2912,30.917,金山区
C0483,121.6986,31.3878,崇明区
C0484,121.8176,30.9718,浦东新区
C0485,121.7086,31.0038,浦东新区
C0486,121.5836,31.0558,浦东新区
C0487,121.3602,31.6833,崇明区
C0488,121.3812,31.6283,崇明区
C0489,121.2322,31.838,崇明区
C0490,121.1012,31.16,青浦区
C0491,121.2322,31.02,松江区
C0492,121.2242,31.009,松江区
C0493,121.3042,30.718,金山区
C0494,121.7156,31.3748,崇明区
C0495,120.9122,31.041,青浦区
C0496,120.9182,31.066,青浦区
C0497,120.9982,31.097,青浦区
C0498,121.2212,30.836,金山区
C0499,121.2602,30.86,金山区
C0500,121.3542,30.895,金山区
C0501,121.3742,30.8553,金山区
C0502,120.9872,31.053,青浦区
C0503,121.3492,30.724,金山区
C0505,121.4282,30.8413,奉贤区
C0506,121.0202,30.951,青浦区
C0507,121.0462,30.918,松江区
C0508,121.2082,30.896,金山区
C0509,121.2142,31.766,崇明区
C0510,121.2882,31.824,崇明区
C0511,121.7456,31.5628,崇明区
C0512,121.5776,31.5678,崇明区
C0513,121.4922,31.7163,崇明区
C0514,121.4562,31.6183,崇明区
C0515,121.4082,31.7693,崇明区
C0516,121.4132,31.6913,崇明区
C0517,121.5976,31.6398,崇明区
C0518,121.6566,31.5928,崇明区
C0519,121.7206,31.5218,崇明区
C0520,121.1842,31.078,松江区
C0521,121.7956,30.8648,浦东新区
C0522,121.6596,31.4038,崇明区
C0523,121.7528,30.9066,奉贤区
C0524,121.7298,30.8796,奉贤区
C0525,121.6268,30.9106,奉贤区
C0526,121.5568,30.8576,奉贤区
C0527,121.5063,30.948,奉贤区
C0528,121.4223,31.001,闵行区
C0529,121.4703,30.94,奉贤区
C0530,121.1983,30.9977,松江区
C0533,121.1213,30.9827,松江区
C0534,121.1183,31.1427,青浦区
C0535,121.0103,31.1207,青浦区
C0536,121.4443,30.911,奉贤区
C0537,121.7608,30.9886,浦东新区
C0538,121.5208,31.2626,杨浦区
C0539,121.3933,31.096,闵行区
C0540,121.7988,30.9276,浦东新区
C0541,121.7208,30.9326,奉贤区
C0542,121.6838,30.9216,奉贤区
C0543,121.5568,30.9856,奉贤区
C0544,121.5093,30.929,奉贤区
C0545,121.4833,30.876,奉贤区
C0546,121.4523,30.923,奉贤区
C0548,121.7108,31.0296,浦东新区
C0549,121.2333,31.4787,嘉定区
C0550,121.2573,31.3767,嘉定区
C0551,121.4453,31.262,静安区
C0552,121.5368,31.2596,杨浦区
C0553,121.2703,31.3507,嘉定区
C0554,121.3443,31.2557,嘉定区
C0600,121.4643,31.419,宝山区
C0601,121.4573,31.409,宝山区
C0602,121.4293,31.201,徐汇区
C0603,121.4983,31.237,浦东新区
C0604,121.4613,31.232,静安区
C0605,121.4203,31.174,徐汇区
C0606,121.5208,31.3026,杨浦区
C0607,121.4853,31.207,黄浦区
C0608,121.4713,31.221,黄浦区
C0609,121.4423,31.229,静安区
C0610,121.4863,31.235,黄浦区
C0611,121.4843,31.242,黄浦区
C0612,121.4903,31.232,黄浦区
C0613,121.4913,31.171,浦东新区
C0614,121.4533,31.238,静安区
C0615,121.4283,31.234,静安区
C0616,121.5438,31.3266,杨浦区
C0617,121.2663,31.1757,青浦区
C0618,121.6878,31.1436,浦东新区
C0619,121.4383,31.194,徐汇区
C0620,121.0823,31.1507,青浦区
C0621,121.8398,30.8626,浦东新区
C0622,121.7618,30.9466,浦东新区
C0623,121.0533,31.1057,青浦区
C0624,121.7518,31.0456,浦东新区
C0625,121.6378,31.0286,浦东新区
C0626,121.9028,30.9526,浦东新区
C0627,121.7448,31.3576,崇明区
C0628,121.8418,31.3166,崇明区
C0629,121.3713,31.122,闵行区
C0630,121.4803,31.087,闵行区
C0631,121.4393,31.247,普陀区
C0632,121.4873,31.246,虹口区
C0633,121.4293,31.194,徐汇区
C0634,121.4893,31.229,黄浦区
C0635,121.4783,31.212,黄浦区
C0636,121.4763,31.235,黄浦区
C0637,121.4513,31.233,静安区
C0638,121.4953,31.158,浦东新区
C0639,121.4883,31.2,黄浦区
C0640,121.5458,31.2236,浦东新区
C0641,121.4583,31.196,徐汇区
C0642,121.3073,31.1847,青浦区
C0643,121.5013,31.179,浦东新区
C0644,121.4953,31.149,浦东新区
C0645,121.4023,31.185,闵行区
C0646,121.3993,31.214,长宁区
C0647,121.4193,31.262,普陀区
C0648,121.4973,31.303,杨浦区
C0649,121.5083,31.258,虹口区
C0650,121.4103,31.241,普陀区
C0651,121.3733,31.247,普陀区
C0652,121.4013,31.259,普陀区
C0653,121.3963,31.013,闵行区
C0654,121.4953,31.387,宝山区
C0655,121.3403,31.2147,长宁区
C0656,121.6378,30.9526,奉贤区
C0657,121.2563,31.0057,松江区
C0658,121.3833,30.744,金山区
C0659,121.8848,31.0096,浦东新区
C0660,121.8138,31.4676,崇明区
C0661,121.3553,30.9707,松江区
C0662,121.4763,31.216,黄浦区
C0663,121.5478,31.2486,浦东新区
C0664,121.4783,31.227,黄浦区
C0665,121.4203,31.181,徐汇区
C0666,121.4143,31.21,长宁区
C0667,121.4103,31.189,闵行区
C0668,121.3993,31.268,普陀区
C0669,121.3713,31.234,普陀区
C0670,121.3723,31.186,闵行区
C0671,121.6718,31.2656,浦东新区
C0672,121.5688,31.3316,浦东新区
C0673,121.4203,31.006,闵行区
C0674,121.3683,31.147,闵行区
C0675,121.6338,31.3036,浦东新区
C0676,121.3853,31.187,闵行区
C0677,121.4503,31.16,徐汇区
C0678,121.6588,31.1946,浦东新区
C0679,121.5868,31.2606,浦东新区
C0680,121.4953,31.208,黄浦区
C0681,121.4703,31.226,黄浦区
C0682,121.7578,31.0526,浦东新区
C0683,121.2433,31.0357,松江区
C0684,121.2443,31.0177,松江区
C0685,121.2093,31.0147,松江区
C0686,121.7168,31.1386,浦东新区
C0687,121.4283,30.989,奉贤区
C0688,121.5033,31.302,杨浦区
C0689,121.5073,31.289,杨浦区
C0690,121.5208,31.2926,杨浦区
C0691,121.3943,31.247,普陀区
C0692,121.4013,31.254,普陀区
C0693,121.3453,31.2807,普陀区
C0694,121.5023,31.216,黄浦区
C0695,121.2313,31.3437,嘉定区
C0696,121.4903,31.164,浦东新区
C0697,121.5638,31.2036,浦东新区
C0698,121.5168,31.2076,浦东新区
C0699,121.4153,31.231,普陀区
C0700,121.4133,31.219,长宁区
C0701,121.4873,31.288,虹口区
C0702,121.4873,31.407,宝山区
C0703,121.5468,31.3046,杨浦区
C0704,121.2313,31.3907,嘉定区
C0705,121.3113,31.2397,嘉定区
C0706,121.5043,31.261,虹口区
C0707,121.5268,31.2576,杨浦区
C0708,121.5158,31.2236,浦东新区
C0709,121.3673,31.352,宝山区
C0710,121.4543,31.191,徐汇区
C0711,121.4493,31.18,徐汇区
C0712,121.4553,31.221,黄浦区
C0713,121.4453,31.221,静安区
C0714,121.4093,31.307,宝山区
C0715,121.4273,31.351,宝山区
C0716,121.4323,31.325,宝山区
C0717,121.4533,31.332,宝山区
C0718,121.4803,31.32,宝山区
C0719,121.7648,31.2076,浦东新区
C0720,121.4883,31.349,宝山区
C0721,121.4873,31.382,宝山区
C0722,121.5338,31.3156,杨浦区
C0723,121.5868,31.3386,浦东新区
C0724,121.3633,31.106,闵行区
C0725,121.3793,31.09,闵行区
C0726,121.3713,31.134,闵行区
C0727,121.3763,31.34,宝山区
C0728,121.4113,31.16,徐汇区
C0729,121.3303,31.3017,宝山区
C0730,121.4973,31.361,宝山区
C0731,121.4163,31.46,宝山区
C0732,121.6878,31.2076,浦东新区
C0733,121.4343,31.018,闵行区
C0734,121.4403,31.093,闵行区
C0735,121.3273,31.0917,松江区
C0736,121.3823,31.103,闵行区
C0737,121.3103,31.1847,闵行区
C0738,121.5688,31.2436,浦东新区
C0739,121.3823,31.311,宝山区
C0740,121.3963,31.31,宝山区
C0741,121.4043,31.22,长宁区
C0742,121.3813,31.194,长宁区
C0743,121.4213,31.207,长宁区
C0744,121.4803,30.917,奉贤区
C0746,121.3093,31.2987,嘉定区
C0747,121.3193,30.7167,金山区
C0748,121.3403,30.7267,金山区
C0749,121.8328,30.9046,浦东新区
C0750,120.9003,31.0857,青浦区
C0751,121.7818,31.0466,浦东新区
C0752,121.1923,31.1497,青浦区
C0753,121.4913,31.249,虹口区
C0754,121.4983,31.4,宝山区
C0755,121.4823,31.291,虹口区
